t,T
10,21.259
20,21.254
30,21.235
40,21.241
50,21.229
60,21.222
70,21.229
80,21.232
90,21.241
100,21.253
110,21.282
120,21.41
130,21.56
140,21.50
150,21.609
160,21.640
170,21.735
180,21.741
190,21.741
200,21.754
210,21.792
220,21.785
230,21.785
240,21.773
250,21.773
260,21.767
270,21.773
280,21.76
290,21.754
300,21.76
