t,T
10,21.76
20,21.754
30,21.76
40,21.773
50,21.767
60,21.773
70,21.773
80,21.785
90,21.785
100,21.792
110,21.754
120,21.741
130,21.741
140,21.735
150,21.722
160,21.716
170,21.729
180,21.71
190,21.71
200,21.716
210,21.71
220,21.722
230,21.722
240,21.729
250,21.722
260,21.729
270,21.741
280,21.735
290,21.754
300,21.759
