t,T
10,22.333
20,22.334
30,22.341
40,22.344
50,22.346
60,22.352
70,22.354
80,22.361
90,22.365
100,22.368
110,23.187
120,23.289
130,23.316
140,23.323
150,23.325
160,23.322
170,23.322
180,23.325
190,23.325
200,23.324
210,23.323
220,23.324
230,23.326
240,23.325
250,23.324
260,23.321
270,23.322
280,23.324
290,23.324
300,23.324
